OID10001,PID2071,A152,C1499,2020-09-23,1,136,2024-12-15 09:59:33,2024-12-15 09:59:33
OID10002,PID2053,A139,C1359,2020-02-07,1,596,2024-12-15 09:59:33,2024-12-15 09:59:33
OID10005,PID2030,A121,C1220,2020-06-27,1,1899,2024-12-15 09:59:33,2024-12-15 09:59:33
OID10007,PID2001,A122,C1368,2020-01-12,4,951,2024-12-15 09:59:33,2024-12-15 09:59:33
OID10009,PID2082,A101,C1764,2020-07-28,1,1103,2024-12-15 09:59:33,2024-12-15 09:59:33
OID10011,PID2004,A156,C1348,2020-04-13,3,1278,2024-12-15 09:59:33,2024-12-15 09:59:33
OID10017,PID2088,A163,C1619,2020-12-08,1,603,2024-12-15 09:59:33,2024-12-15 09:59:33
OID10022,PID2077,A171,C1723,2020-09-03,2,530,2024-12-15 09:59:33,2024-12-15 09:59:33
OID10023,PID2005,A164,C1713,2020-05-28,4,684,2024-12-15 09:59:33,2024-12-15 09:59:33
OID10024,PID2059,A104,C1673,2020-01-14,3,1494,2024-12-15 09:59:33,2024-12-15 09:59:33
OID10025,PID2047,A170,C1753,2020-09-05,1,290,2024-12-15 09:59:33,2024-12-15 09:59:33
OID10034,PID2099,A103,C1299,2020-05-30,1,1367,2024-12-15 09:59:33,2024-12-15 09:59:33
OID10038,PID2098,A143,C1674,2020-04-19,1,1178,2024-12-15 09:59:33,2024-12-15 09:59:33
OID10040,PID2053,A122,C1301,2020-02-24,4,596,2024-12-15 09:59:33,2024-12-15 09:59:33
OID10043,PID2068,A119,C1641,2020-06-04,4,1500,2024-12-15 09:59:33,2024-12-15 09:59:33
OID10044,PID2001,A120,C1604,2020-09-20,2,951,2024-12-15 09:59:33,2024-12-15 09:59:33
OID10045,PID2058,A161,C1419,2020-03-12,2,2257,2024-12-15 09:59:33,2024-12-15 09:59:33
OID10046,PID2010,A161,C1207,2020-06-27,4,1812,2024-12-15 09:59:33,2024-12-15 09:59:33
OID10050,PID2004,A172,C1012,2020-07-20,1,1278,2024-12-15 09:59:33,2024-12-15 09:59:33
OID10053,PID2030,A116,C1364,2020-12-07,3,1899,2024-12-15 09:59:33,2024-12-15 09:59:33
OID10054,PID2095,A151,C1105,2020-09-16,1,1743,2024-12-15 09:59:33,2024-12-15 09:59:33
OID10055,PID2098,A172,C1791,2020-08-01,3,1178,2024-12-15 09:59:33,2024-12-15 09:59:33
OID10060,PID2065,A150,C1723,2020-08-13,1,2396,2024-12-15 09:59:33,2024-12-15 09:59:33
OID10068,PID2058,A107,C1767,2020-03-29,1,2257,2024-12-15 09:59:33,2024-12-15 09:59:33
OID10079,PID2043,A172,C1217,2020-12-19,1,545,2024-12-15 09:59:33,2024-12-15 09:59:33
OID10080,PID2009,A129,C1550,2020-11-30,3,584,2024-12-15 09:59:33,2024-12-15 09:59:33
OID10081,PID2056,A120,C1749,2020-12-04,1,1635,2024-12-15 09:59:33,2024-12-15 09:59:33
OID10083,PID2092,A112,C1257,2020-04-26,3,1639,2024-12-15 09:59:33,2024-12-15 09:59:33
OID10085,PID2002,A130,C1043,2020-05-16,3,847,2024-12-15 09:59:33,2024-12-15 09:59:33
OID10087,PID2092,A152,C1357,2020-08-26,3,1639,2024-12-15 09:59:33,2024-12-15 09:59:33
OID10090,PID2050,A146,C1463,2020-01-24,3,2391,2024-12-15 09:59:33,2024-12-15 09:59:33
OID10093,PID2035,A113,C1758,2020-06-02,4,458,2024-12-15 09:59:33,2024-12-15 09:59:33
OID10094,PID2040,A143,C1780,2020-10-22,4,1889,2024-12-15 09:59:33,2024-12-15 09:59:33
OID10095,PID2027,A105,C1007,2020-02-10,1,2497,2024-12-15 09:59:33,2024-12-15 09:59:33
OID10101,PID2036,A128,C1030,2020-10-14,1,1582,2024-12-15 09:59:33,2024-12-15 09:59:33
OID10103,PID2015,A121,C1614,2020-09-11,3,637,2024-12-15 09:59:33,2024-12-15 09:59:33
OID10104,PID2047,A168,C1446,2020-09-04,3,290,2024-12-15 09:59:33,2024-12-15 09:59:33
OID10105,PID2025,A146,C1607,2020-04-08,2,667,2024-12-15 09:59:33,2024-12-15 09:59:33
OID10108,PID2015,A131,C1660,2020-12-02,1,637,2024-12-15 09:59:33,2024-12-15 09:59:33
OID10113,PID2010,A167,C1471,2020-05-16,3,1812,2024-12-15 09:59:33,2024-12-15 09:59:33
OID10117,PID2060,A140,C1436,2020-05-10,3,1467,2024-12-15 09:59:33,2024-12-15 09:59:33
OID10120,PID2021,A131,C1756,2020-09-12,1,217,2024-12-15 09:59:33,2024-12-15 09:59:33
OID10125,PID2000,A137,C1541,2020-04-21,2,2241,2024-12-15 09:59:33,2024-12-15 09:59:33
OID10128,PID2054,A126,C1347,2020-02-15,1,127,2024-12-15 09:59:33,2024-12-15 09:59:33
OID10129,PID2083,A129,C1013,2020-05-27,1,2141,2024-12-15 09:59:33,2024-12-15 09:59:33
OID10131,PID2019,A119,C1704,2020-11-28,1,800,2024-12-15 09:59:33,2024-12-15 09:59:33
OID10139,PID2009,A104,C1221,2020-01-23,2,584,2024-12-15 09:59:33,2024-12-15 09:59:33
OID10142,PID2046,A128,C1794,2020-02-08,4,2410,2024-12-15 09:59:33,2024-12-15 09:59:33
OID10143,PID2049,A127,C1258,2020-03-12,1,826,2024-12-15 09:59:33,2024-12-15 09:59:33
OID10146,PID2009,A135,C1633,2020-07-08,1,584,2024-12-15 09:59:33,2024-12-15 09:59:33
OID10149,PID2093,A119,C1666,2020-08-07,3,112,2024-12-15 09:59:33,2024-12-15 09:59:33
OID10154,PID2075,A140,C1407,2020-07-06,1,400,2024-12-15 09:59:33,2024-12-15 09:59:33
OID10160,PID2032,A128,C1293,2020-12-15,2,1967,2024-12-15 09:59:33,2024-12-15 09:59:33
OID10161,PID2079,A107,C1266,2020-09-14,4,1725,2024-12-15 09:59:33,2024-12-15 09:59:33
OID10164,PID2048,A134,C1285,2020-10-21,1,502,2024-12-15 09:59:33,2024-12-15 09:59:33
OID10165,PID2025,A155,C1071,2020-06-13,1,667,2024-12-15 09:59:33,2024-12-15 09:59:33
OID10168,PID2048,A161,C1469,2020-01-31,4,502,2024-12-15 09:59:33,2024-12-15 09:59:33
